Id,Label,timeset,componentnumber,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,clustering,triangles
151355480,151355480,,0,0,0,0,0,0,0,0,0,0
151355477,151355477,,0,0,0,0,0,0,0,0,0,0
151355478,151355478,,0,0,0,0,0,0,0,0,0,0
151355479,151355479,,0,0,0,0,0,0,0,0,0,0
151385061,151385061,,0,0,0,0,0,0,0,0,0,0
151355490,151355490,,1,0,0,0,0,0,0,0,0,0
151355489,151355489,,1,0,0,0,0,0,0,0,0,0
151355495,151355495,,0,3,41,0.054925,0.057743,0,0.000036,27,1,3
151355493,151355493,,0,8,40,0.058117,0.061669,65953,0.000083,27,0.428571,12
151355494,151355494,,0,3,41,0.054925,0.057743,0,0.000036,27,1,3
151355496,151355496,,0,3,41,0.054925,0.057743,0,0.000036,27,1,3
151412430,151412430,,0,5,40,0.058116,0.061593,21986,0.000056,27,0.6,6
151426706,151426706,,0,9,39,0.0617,0.066059,329597.5,0.000088,27,0.361111,13
151362762,151362762,,0,5,40,0.058116,0.061593,21986,0.000056,27,0.6,6
151419588,151419588,,0,7,40,0.058116,0.061646,43971,0.000075,27,0.47619,10
151412054,151412054,,0,6,40,0.058117,0.061639,17.5,0.000063,27,0.666667,10
151355500,151355500,,3,0,0,0,0,0,0,0,0,0
151355497,151355497,,3,0,0,0,0,0,0,0,0,0
151355498,151355498,,3,0,0,0,0,0,0,0,0,0
151355499,151355499,,3,0,0,0,0,0,0,0,0,0
151355515,151355515,,0,1,43,0.054881,0.05731,0,0.000025,145,0,0
151355514,151355514,,0,2,42,0.058068,0.061034,21986,0.000042,145,0,0
151420808,151420808,,0,3,41,0.061647,0.065308,43970,0.00005,145,0.333333,1
151355520,151355520,,4,0,0,0,0,0,0,0,0,0
151355516,151355516,,4,0,0,0,0,0,0,0,0,0
151355518,151355518,,4,0,0,0,0,0,0,0,0,0
151355519,151355519,,4,0,0,0,0,0,0,0,0,0
151355521,151355521,,4,0,0,0,0,0,0,0,0,0
151355530,151355530,,5,0,0,0,0,0,0,0,0,0
151355529,151355529,,5,0,0,0,0,0,0,0,0,0
151355535,151355535,,0,5,36,0.065098,0.069713,0,0.000041,25,1,10
151355533,151355533,,0,5,36,0.065098,0.069713,0,0.000041,25,1,10
151355534,151355534,,0,5,36,0.065098,0.069713,0,0.000041,25,1,10
151355536,151355536,,0,5,36,0.065098,0.069713,0,0.000041,25,1,10
151355537,151355537,,0,11,35,0.06963,0.075645,109910,0.000081,25,0.454545,25
151355538,151355538,,0,5,36,0.065098,0.069713,0,0.000041,25,1,10
151355560,151355560,,0,3,40,0.069034,0.074725,0,0.000029,26,1,3
151355558,151355558,,0,3,40,0.069034,0.074725,0,0.000029,26,1,3
151355559,151355559,,0,13,39,0.074153,0.08175,131831.303803,0.000088,26,0.525641,41
151355561,151355561,,0,3,40,0.069034,0.074725,0,0.000029,26,1,3
151400751,151400751,,0,9,39,0.071737,0.078553,52384.612061,0.000067,26,0.5,18
151402396,151402396,,0,10,39,0.074152,0.081666,82063.930569,0.000068,26,0.733333,33
151379122,151379122,,0,11,38,0.07673,0.085231,2852394.379406,0.00007,26,0.618182,34
151392307,151392307,,0,12,38,0.075535,0.083743,2574850.547818,0.000074,26,0.545455,36
151394453,151394453,,0,11,39,0.074152,0.081704,87865.303803,0.000074,26,0.690909,38
151406663,151406663,,0,9,39,0.072395,0.079184,581179.944205,0.000062,26,0.5,18
151384709,151384709,,0,12,39,0.075358,0.083511,2317969.02777,0.000077,26,0.545455,36
151391774,151391774,,0,9,39,0.074151,0.081644,60077.930569,0.000057,26,0.916667,33
151399594,151399594,,0,10,39,0.074152,0.081682,65879.303803,0.000064,26,0.844444,38
151412964,151412964,,0,11,39,0.073771,0.081231,51693.469306,0.000076,26,0.636364,35
151355570,151355570,,0,3,46,0.047633,0.049978,0,0.000032,7,1,3
151355568,151355568,,0,3,46,0.047633,0.049978,0,0.000032,7,1,3
151355569,151355569,,0,11,45,0.050015,0.052995,65952,0.00009,7,0.563636,31
151355571,151355571,,0,3,46,0.047633,0.049978,0,0.000032,7,1,3
151372195,151372195,,0,9,45,0.050015,0.052963,87932,0.000075,7,0.777778,28
151407745,151407745,,0,9,44,0.052645,0.056058,549050,0.000072,7,0.777778,28
151375692,151375692,,0,9,45,0.050015,0.05295,21986,0.000074,7,0.777778,28
151390437,151390437,,0,10,45,0.050015,0.05298,65952,0.000085,7,0.644444,29
151370968,151370968,,0,11,45,0.050015,0.052995,65952,0.00009,7,0.563636,31
151401328,151401328,,0,9,45,0.050015,0.05295,21986,0.000074,7,0.777778,28
151416918,151416918,,0,8,45,0.050015,0.052927,0,0.000063,7,1,28
151420499,151420499,,0,10,45,0.050015,0.052973,43970,0.000083,7,0.644444,29
151355580,151355580,,0,3,40,0.063114,0.067924,0,0.000027,0,1,3
151355578,151355578,,0,20,39,0.06714,0.073555,614106.69985,0.000113,0,0.536842,102
151355579,151355579,,0,3,40,0.063114,0.067924,0,0.000027,0,1,3
151355581,151355581,,0,4,40,0.063444,0.068422,208490.602088,0.000037,0,0.5,3
151355925,151355925,,0,11,39,0.065494,0.07108,44902.026734,0.000069,0,0.654545,36
151378610,151378610,,0,18,39,0.066494,0.072627,253451.14149,0.000102,0,0.614379,94
151381610,151381610,,0,14,39,0.065891,0.07174,149243.297479,0.00008,0,0.725275,66
151398225,151398225,,0,15,39,0.066207,0.072268,193069.785384,0.00008,0,0.809524,85
151388606,151388606,,0,13,40,0.064668,0.070321,18503.435111,0.00007,0,0.884615,69
151410971,151410971,,0,18,40,0.065341,0.071383,1681658.129861,0.000102,0,0.54902,84
151365087,151365087,,0,12,38,0.067693,0.073937,1760349.351487,0.000068,0,0.651515,43
151366942,151366942,,0,16,39,0.066493,0.072574,225368.672678,0.000089,0,0.708333,85
151413017,151413017,,0,19,39,0.066495,0.07268,335284.239383,0.00011,0,0.561404,96
151366288,151366288,,0,10,40,0.063337,0.068518,21986,0.00006,0,0.8,36
151393783,151393783,,0,12,40,0.065128,0.070941,1022117.309108,0.000066,0,0.833333,55
151414068,151414068,,0,15,40,0.064669,0.070374,41835.508517,0.000084,0,0.742857,78
151424483,151424483,,0,20,39,0.067017,0.073372,416878.253388,0.000114,0,0.536842,102
151388934,151388934,,0,11,39,0.06673,0.072594,1267087.960478,0.000069,0,0.563636,31
151408139,151408139,,0,15,40,0.064669,0.070374,41835.508517,0.000084,0,0.742857,78
151413414,151413414,,0,15,39,0.06567,0.071567,134852.215039,0.000084,0,0.742857,78
151427944,151427944,,0,9,40,0.064996,0.070585,798629.251954,0.000057,0,0.611111,22
151355585,151355585,,0,1,39,0.057245,0.060656,0,0.000015,17,0,0
151355584,151355584,,0,7,38,0.06072,0.065122,36629.333333,0.00007,17,0.571429,12
151398725,151398725,,0,8,37,0.064642,0.070155,592937.333333,0.000071,17,0.535714,15
151429005,151429005,,0,7,38,0.060721,0.06513,58595.333333,0.000069,17,0.619048,13
151393816,151393816,,0,12,38,0.060723,0.065304,124602.666667,0.000113,17,0.318182,21
